customer_id,prob_adquirir_producto,prediccion
3490,0.9999999999994689,1
168,0.9999993151474208,1
6598,0.9999644156963825,1
8637,0.9999368090883403,1
3972,0.9999172781233995,1
381,0.9998688777409009,1
2392,0.9998115393619094,1
7532,0.9997035284787751,1
3395,0.9996295502869001,1
5048,0.9995345690761175,1
8839,0.9994183864755076,1
7532,0.9993776054621414,1
2347,0.9993438784026698,1
4438,0.9989916506365641,1
6562,0.998629551573525,1
5647,0.9985748428692435,1
1641,0.9984386862130175,1
7687,0.9984116484779659,1
7687,0.9982587015242148,1
5124,0.9981222862015491,1
5647,0.9979287893695065,1
4438,0.997888145785599,1
5519,0.9977212655245776,1
3201,0.9975043734812891,1
7532,0.9974718976165939,1
6562,0.9968989897634903,1
6562,0.9968298345795135,1
7188,0.9968071191824003,1
6172,0.9967696612772411,1
1641,0.9966840734921146,1
721,0.996423759490929,1
7477,0.9960749414044647,1
9397,0.9959968792730702,1
5029,0.9952757530919925,1
4438,0.9950476540246639,1
1572,0.9947739587086261,1
4101,0.9947426514862033,1
6587,0.9946509950078585,1
5577,0.9944891929371574,1
3498,0.9936757087688142,1
1413,0.9932980942446732,1
3498,0.9932824163176148,1
1413,0.9932303714832758,1
885,0.9931889628133244,1
2866,0.9930394981408185,1
853,0.9929964194158304,1
1476,0.9927414430723619,1
2866,0.9925918231462874,1
3515,0.992470959945727,1
3104,0.9922886364025814,1
5577,0.9920740392610407,1
1192,0.991698597606377,1
3515,0.991425546177068,1
9369,0.9912965994189387,1
3783,0.9912604855307252,1
7135,0.9909607314323531,1
3437,0.9904844582425841,1
3425,0.9901608814303102,1
1476,0.9898341792668366,1
8519,0.9896780804721252,1
1195,0.9894378823657368,1
3104,0.9893049122540324,1
3215,0.9892726416858588,1
1196,0.988438505068937,1
1587,0.988223461781399,1
8094,0.9881292360249191,1
1587,0.9880390156451099,1
9153,0.9875635319369208,1
2321,0.9874382370151144,1
3260,0.9873152435861982,1
8094,0.9869166177369881,1
853,0.9868703241333284,1
7777,0.9868323342675206,1
6652,0.9868248544784383,1
3437,0.9864017022894462,1
7735,0.9862773045881422,1
7777,0.9860492338472013,1
4909,0.9859247442051011,1
853,0.9859177588514672,1
3437,0.9858458535825183,1
2447,0.985822473757698,1
2866,0.985745096050738,1
6292,0.9854262215003985,1
6393,0.9853631813353411,1
9169,0.9852196936181707,1
718,0.985065354282197,1
6393,0.9849630627087184,1
718,0.9849240693322937,1
4257,0.9848599157994152,1
718,0.9848061317950333,1
4856,0.9842709312649436,1
1358,0.9838394809193804,1
4730,0.9835428252152444,1
1485,0.9834691077856113,1
3969,0.9829715381278523,1
9180,0.9824541113676466,1
5642,0.9823354003505691,1
9399,0.9821702754471308,1
581,0.9814967015140388,1
7777,0.9813898748518618,1
3121,0.9811334561135941,1
2321,0.9810568702449483,1
4279,0.9807139452587149,1
8519,0.9804619631321082,1
