customer_id,prob_adquirir_producto,prediccion
6598,0.9999610496119403,1
8637,0.999942453216006,1
3972,0.9999121066610372,1
381,0.9998648508755686,1
7532,0.9996375263287889,1
2347,0.9996360622522936,1
3395,0.9995684635540737,1
7532,0.999213961697638,1
4438,0.9988245566812436,1
5647,0.9985887814324305,1
7687,0.9985483834519849,1
7687,0.9984942739456961,1
6562,0.9984091094180637,1
6172,0.9978613151014796,1
5647,0.9978333393575528,1
1641,0.9977020198085761,1
3201,0.9976733169642301,1
6562,0.9971057822411098,1
4438,0.9970676092822244,1
5124,0.9970077977930387,1
7477,0.9968599685674435,1
7532,0.9967906334175582,1
1413,0.9961614632099439,1
1413,0.9957600629148977,1
6562,0.9955432286865112,1
1641,0.9953053125808151,1
4101,0.9950529019502893,1
6587,0.9948093118043186,1
1572,0.9947347898409682,1
3498,0.9944617501414158,1
3498,0.9944033121685939,1
4438,0.9943604235139082,1
9397,0.994252527915177,1
3515,0.9942190563529669,1
1476,0.9938528196603286,1
5577,0.9936244967910887,1
3515,0.9933934100038424,1
6652,0.9926759586639774,1
3783,0.9923948704791882,1
8094,0.9921145265488593,1
853,0.9917945062199474,1
2866,0.9916939121837824,1
6393,0.991588179657868,1
8094,0.9914133600288125,1
6393,0.9912882105505414,1
1476,0.9912860064725002,1
1196,0.9909965656502218,1
3104,0.9907658548292653,1
2866,0.990319607442195,1
7777,0.9902833399111921,1
3437,0.9901662673534336,1
5577,0.9900889956451565,1
1587,0.9900591617651648,1
7777,0.9897556829217703,1
8519,0.9896500934657413,1
1587,0.9895622976528055,1
3215,0.9894480536412431,1
2447,0.9889446555889876,1
3121,0.9888739598851378,1
9369,0.9888125259558462,1
1192,0.9886591078872182,1
9153,0.9882544474698057,1
3425,0.9879942063937946,1
3260,0.9875988442881342,1
3104,0.9872930047749309,1
3437,0.9863518417170221,1
7777,0.9862541463067387,1
9180,0.9858184070719049,1
1358,0.9855898449247459,1
853,0.9845821733210576,1
7735,0.9845428155574462,1
9180,0.9845326408407858,1
853,0.9835785877705561,1
2866,0.9830699916232086,1
718,0.9826865122850729,1
2321,0.9826423964332143,1
9169,0.982633918856767,1
3437,0.9826299467570511,1
718,0.9822873043864837,1
4909,0.9821990002140364,1
4257,0.9818960802543535,1
8519,0.9813989519559021,1
6292,0.9803083256207734,1
9567,0.9800772967655351,1
538,0.9800766663961408,1
8199,0.9796955461106275,1
9399,0.9788966427135654,1
903,0.9787782208856504,1
2243,0.9785974941410231,1
2243,0.9777196462787775,1
1779,0.9771902767243792,1
1485,0.9771155526451067,1
581,0.9770816111033441,1
495,0.976951631210934,1
2321,0.9769173343297665,1
1215,0.9767521925965194,1
2467,0.976645293042716,1
7735,0.9766377934939489,1
377,0.9765746641740984,1
3425,0.9763419701377988,1
8690,0.976130696716153,1
9865,0.9759471888975051,1
9704,0.9759153264496097,1
3370,0.9753941477106594,1
9399,0.975331178299228,1
1035,0.9751106016439316,1
5209,0.9748196334105231,1
2575,0.9746310760670681,1
3969,0.9740077301599037,1
2715,0.9735964840232124,1
39,0.9733508054323868,1
7925,0.9732988085208987,1
9731,0.9728081474179879,1
4302,0.9723520556018015,1
8521,0.9722449150032512,1
8690,0.9721291670743178,1
6590,0.972034183845751,1
268,0.971635508390123,1
1035,0.9714483177593665,1
7853,0.9709608911934211,1
921,0.9706787613897456,1
1376,0.9701426706087551,1
3954,0.9701356211127815,1
718,0.9699411313188305,1
4347,0.9699152494930722,1
5162,0.9698350208682566,1
903,0.9690262449388346,1
581,0.9689020823840805,1
